Accession	Virus Taxonomic ID	Collapse TaxId	Collapse Name
KP308423.1	39054	138948	Enterovirus A
KP308422.1	39054	138948	Enterovirus A
KP308421.1	39054	138948	Enterovirus A
KP308419.1	39054	138948	Enterovirus A
KP308418.1	39054	138948	Enterovirus A
KP308415.1	39054	138948	Enterovirus A
KP308414.1	39054	138948	Enterovirus A
KP308412.1	39054	138948	Enterovirus A
KP308409.1	39054	138948	Enterovirus A
KP308408.1	39054	138948	Enterovirus A
KP308407.1	39054	138948	Enterovirus A
KP308405.1	39054	138948	Enterovirus A
KP308403.1	39054	138948	Enterovirus A
KP308402.1	39054	138948	Enterovirus A
KP308401.1	39054	138948	Enterovirus A
KP289432.1	39054	138948	Enterovirus A
KP289431.1	39054	138948	Enterovirus A
KP289430.1	39054	138948	Enterovirus A
KP289429.1	39054	138948	Enterovirus A
KP289428.1	39054	138948	Enterovirus A
KP289427.1	39054	138948	Enterovirus A
KP289426.1	39054	138948	Enterovirus A
KP289425.1	39054	138948	Enterovirus A
KP289424.1	39054	138948	Enterovirus A
KP289423.1	39054	138948	Enterovirus A
KP289422.1	39054	138948	Enterovirus A
KP289421.1	39054	138948	Enterovirus A
KP289420.1	39054	138948	Enterovirus A
KP289419.1	39054	138948	Enterovirus A
KP289418.1	39054	138948	Enterovirus A
KP289417.1	39054	138948	Enterovirus A
KP274875.1	39054	138948	Enterovirus A
KP274874.1	39054	138948	Enterovirus A
KP266579.1	39054	138948	Enterovirus A
KP266572.1	39054	138948	Enterovirus A
KP198624.1	39054	138948	Enterovirus A
KP198623.1	39054	138948	Enterovirus A
KM591215.1	39054	138948	Enterovirus A
KJ686308.1	39054	138948	Enterovirus A
KJ686307.1	39054	138948	Enterovirus A
KJ686306.1	39054	138948	Enterovirus A
KJ686305.1	39054	138948	Enterovirus A
KJ686304.1	39054	138948	Enterovirus A
KJ686303.1	39054	138948	Enterovirus A
KJ686302.1	39054	138948	Enterovirus A
KJ686301.1	39054	138948	Enterovirus A
KJ686300.1	39054	138948	Enterovirus A
KJ686299.1	39054	138948	Enterovirus A
KJ686298.1	39054	138948	Enterovirus A
KJ686297.1	39054	138948	Enterovirus A
KJ686296.1	39054	138948	Enterovirus A
KJ686295.1	39054	138948	Enterovirus A
KJ686294.1	39054	138948	Enterovirus A
KJ686293.1	39054	138948	Enterovirus A
KJ686292.1	39054	138948	Enterovirus A
KJ686291.1	39054	138948	Enterovirus A
KJ686290.1	39054	138948	Enterovirus A
